iter	Logloss
0	0.6894377319
1	0.6855767045
2	0.6817064137
3	0.6781728839
4	0.674745307
5	0.6714140156
6	0.6681353438
7	0.6648775299
8	0.6615940528
9	0.6585468875
10	0.6554563013
11	0.6524720955
12	0.6495517883
13	0.6467078069
14	0.6439140887
15	0.6410470633
16	0.6384172975
17	0.6357456256
18	0.6331310582
19	0.6306534791
20	0.6282701423
21	0.625875275
22	0.6235091439
23	0.6212508364
24	0.6189171802
25	0.6166628222
26	0.6145237746
27	0.6124337231
28	0.6103943524
29	0.608306898
30	0.6063708674
31	0.6043322968
32	0.6021357962
33	0.5999947142
34	0.5981973852
35	0.5963581932
36	0.5946409323
37	0.5925488917
38	0.5909338696
39	0.5893421778
40	0.5872045419
41	0.5856677748
42	0.5840606311
43	0.5825631207
44	0.5808214338
45	0.5793990319
46	0.5780044513
47	0.5766762809
48	0.5752349154
49	0.5738905935
50	0.5726330507
51	0.5713368926
52	0.5699001965
53	0.5686646376
54	0.567442498
55	0.5662852993
56	0.5647725494
57	0.5636669296
58	0.5625488502
59	0.5614379851
60	0.5604126805
61	0.5594352199
62	0.5581404544
63	0.5570444602
64	0.5558125112
65	0.5548746677
66	0.5539999469
67	0.5529818611
68	0.5521179507
69	0.5510602412
70	0.5500442304
71	0.5490289593
72	0.5482248022
73	0.5471079071
74	0.5463326194
75	0.5454785863
76	0.5444765851
77	0.5437458465
78	0.5427011572
79	0.5420418309
80	0.5413771127
81	0.5406930885
82	0.5396009884
83	0.5388610232
84	0.5380806915
85	0.537409022
86	0.5366339897
87	0.5360091083
88	0.5353629607
89	0.5346924279
90	0.5341462896
91	0.5334764702
92	0.532747709
93	0.5319193222
94	0.5310076327
95	0.5304238521
96	0.5296163142
97	0.5287593923
98	0.5283043744
99	0.5278104629
100	0.5273065161
101	0.5266774108
102	0.5261378909
103	0.5254190172
104	0.5245089094
105	0.5238000327
106	0.522962918
107	0.5223264808
108	0.5214132703
109	0.520929824
110	0.5202185333
111	0.5196931229
112	0.5192589849
113	0.5185181506
114	0.518052601
115	0.5173180867
116	0.5167248668
117	0.5161929099
118	0.5155650856
119	0.5149399987
120	0.5142485768
121	0.5136772726
122	0.5133314084
123	0.5126012761
124	0.5121141588
125	0.5116275582
126	0.5108638451
127	0.5104990999
128	0.5098534235
129	0.5092992452
130	0.5090074033
131	0.5084541921
132	0.5077270018
133	0.507228403
134	0.5066478389
135	0.5062942742
136	0.5060840882
137	0.5055270109
138	0.5053033787
139	0.5050070092
140	0.5045061237
141	0.5040517787
142	0.5035027035
143	0.503063115
144	0.5025090509
145	0.5020857794
146	0.5014038973
147	0.5008559904
148	0.5004204864
149	0.5000286103
150	0.4996187868
151	0.4992135503
152	0.4989144215
153	0.4985054934
154	0.4981040321
155	0.4976746802
156	0.4971054477
157	0.4968379243
158	0.4963021031
159	0.4958543791
160	0.4954715932
161	0.4951917506
162	0.4946203852
163	0.4944007162
164	0.494105948
165	0.4938492269
166	0.4934207044
167	0.4929155911
168	0.4924800052
169	0.4920428557
170	0.4915931534
171	0.491404803
172	0.4910918325
173	0.4907041355
174	0.490325079
175	0.4900697047
176	0.4896928694
177	0.4893983646
178	0.4890072997
179	0.4887506572
180	0.488489645
181	0.4879964422
182	0.4878200369
183	0.4873931768
184	0.4868071251
185	0.4864779066
186	0.4861871295
187	0.4856317341
188	0.4854121179
189	0.4851414873
190	0.4848842039
191	0.4846809757
192	0.4842961668
193	0.4838937579
194	0.4836395469
195	0.4831366993
196	0.4828378774
197	0.4825113683
198	0.4821627861
199	0.4818915715
200	0.4814766922
201	0.4810999563
202	0.4807783612
203	0.4804413403
204	0.4801939124
205	0.4798732159
206	0.4795969096
207	0.4794190091
208	0.4792039001
209	0.4788776101
